"district_name","district_code","school_name","school_code","school_type","teachers_included","enrollment_k12_2122","frpm_k12_2122","mean_exp_years"
"Anaheim Elementary",66423,"Stoddard (Alexander J.) Elementary",6027247,"Elementary Schools (Public)",39,"644","70.20%",17.2307692307692
"Anaheim Elementary",66423,"Sunkist Elementary",6027403,"Elementary Schools (Public)",40,"622","72.20%",15.9
"Anaheim Elementary",66423,"Westmont Elementary",6116123,"Elementary Schools (Public)",40,"609","77.50%",16.1625
"Bakersfield City",63321,"Bessie E. Owens Intermediate",6116719,"Elementary Schools (Public)",31,"495","86.50%",4.41935483870968
"Bakersfield City",63321,"Bessie E. Owens Primary",6009138,"Elementary Schools (Public)",47,"636","87.60%",14.2978723404255
"Bakersfield City",63321,"Caroline Harris Elementary",6008858,"Elementary Schools (Public)",33,"531","78.90%",11.4848484848485
"Bakersfield City",63321,"Casa Loma Elementary",6008866,"Elementary Schools (Public)",27,"550","88.90%",9.88888888888889
"Bakersfield City",63321,"Cesar E. Chavez Elementary",6111900,"Elementary Schools (Public)",28,"508","39.80%",17.9642857142857
"Bakersfield City",63321,"Chipman Junior High",6008841,"Intermediate/Middle Schools (Public)",36,"946","69.30%",9.83333333333333
"Bakersfield City",63321,"College Heights Elementary",6008882,"Elementary Schools (Public)",39,"858","87.40%",11.2307692307692
"Bakersfield City",63321,"Colonel Howard Nichols Elementary",6008890,"Elementary Schools (Public)",44,"854","71.40%",12.3181818181818
"Bakersfield City",63321,"Compton Junior High",6009021,"Intermediate/Middle Schools (Public)",29,"700","81.40%",6.96551724137931
"Bakersfield City",63321,"Curran Middle",6009005,"Intermediate/Middle Schools (Public)",48,"968","80.60%",8.41666666666667
"Bakersfield City",63321,"Downtown Elementary",6114284,"Elementary Schools (Public)",15,"289","23.90%",17.2666666666667
"Bakersfield City",63321,"Dr. Douglas K. Fletcher Elementary",129171,"Elementary Schools (Public)",39,"678","51.30%",13.7948717948718
"Bakersfield City",63321,"Dr. Juliet Thorner Elementary",6109078,"Elementary Schools (Public)",41,"811","66.00%",10.4146341463415
"Bakersfield City",63321,"Dr. Martin Luther King, Jr. Elementary",139808,"Elementary Schools (Public)",41,"696","91.20%",6.75609756097561
"Bakersfield City",63321,"Emerson Middle",6008916,"Intermediate/Middle Schools (Public)",38,"803","89.30%",6.84210526315789
"Bakersfield City",63321,"Evergreen Elementary",6008874,"Elementary Schools (Public)",40,"688","90.10%",12.825
"Bakersfield City",63321,"Frank West Elementary",6008924,"Elementary Schools (Public)",41,"694","88.30%",11.1219512195122
"Bakersfield City",63321,"Franklin Elementary",6008932,"Elementary Schools (Public)",26,"490","81.00%",11.2692307692308
"Bakersfield City",63321,"Fremont Elementary",6008940,"Elementary Schools (Public)",44,"791","87.50%",7.22727272727273
"Bakersfield City",63321,"Harding Elementary",6008965,"Elementary Schools (Public)",29,"513","75.40%",10.6551724137931
"Bakersfield City",63321,"Henry Eissler Elementary",6008973,"Elementary Schools (Public)",28,"543","80.10%",10.25
"Bakersfield City",63321,"Horace Mann Elementary",6008981,"Elementary Schools (Public)",46,"914","89.30%",12.8260869565217
"Bakersfield City",63321,"Hort Elementary",6008999,"Elementary Schools (Public)",35,"573","86.20%",9.37142857142857
"Bakersfield City",63321,"Jefferson Elementary",6009013,"Elementary Schools (Public)",26,"473","94.30%",11.1923076923077
"Bakersfield City",63321,"Leo G. Pauly Elementary",6009047,"Elementary Schools (Public)",36,"699","89.60%",9.52777777777778
"Bakersfield City",63321,"Longfellow Elementary",6009062,"Elementary Schools (Public)",40,"791","91.90%",5.8
"Bakersfield City",63321,"McKinley Elementary",6009070,"Elementary Schools (Public)",38,"757","91.00%",7.21052631578947
"Bakersfield City",63321,"Mt. Vernon Elementary",6009088,"Elementary Schools (Public)",40,"612","83.20%",11.125
"Bakersfield City",63321,"Munsey Elementary",6009096,"Elementary Schools (Public)",37,"613","83.40%",8.37837837837838
"Bakersfield City",63321,"Myra A. Noble Elementary",6009104,"Elementary Schools (Public)",42,"863","90.30%",14.2380952380952
"Bakersfield City",63321,"Paul L. Cato Middle",129189,"Intermediate/Middle Schools (Public)",29,"906","59.70%",12.8275862068966
"Bakersfield City",63321,"Pioneer Drive Elementary",6009120,"Elementary Schools (Public)",32,"626","89.80%",15.03125
"Bakersfield City",63321,"Rafer Johnson",138149,"District Community Day Schools",7,"19","78.90%",9.85714285714286
"Bakersfield City",63321,"Ramon Garza Elementary",6109052,"Elementary Schools (Public)",38,"780","90.00%",9.76315789473684
"Bakersfield City",63321,"Roosevelt Elementary",6009146,"Elementary Schools (Public)",24,"415","89.90%",8.58333333333333
"Bakersfield City",63321,"Sequoia Middle",6008957,"Intermediate/Middle Schools (Public)",39,"716","89.20%",8.02564102564103
"Bakersfield City",63321,"Sierra Middle",6009153,"Intermediate/Middle Schools (Public)",36,"841","84.90%",8.13888888888889
"Bakersfield City",63321,"Stella I. Hills Elementary",6109060,"Elementary Schools (Public)",41,"694","94.80%",8.51219512195122
"Bakersfield City",63321,"Voorhies Elementary",6009161,"Elementary Schools (Public)",53,"969","83.80%",11.3962264150943
"Bakersfield City",63321,"Walter Stiern Middle",6111264,"Intermediate/Middle Schools (Public)",42,"926","81.50%",8.90476190476191
"Bakersfield City",63321,"Washington Middle",6009179,"Intermediate/Middle Schools (Public)",31,"616","84.70%",7.54838709677419
"Bakersfield City",63321,"Wayside Elementary",6009187,"Elementary Schools (Public)",37,"650","90.20%",12.7837837837838
"Bakersfield City",63321,"William Penn Elementary",6009195,"Elementary Schools (Public)",16,"273","86.80%",13.1875
"Bakersfield City",63321,"Williams Elementary",6009203,"Elementary Schools (Public)",29,"488","92.00%",7.41379310344828
"Berkeley Unified",61143,"Berkeley Arts Magnet at Whittier",6097729,"Elementary Schools (Public)",31,"381","25.20%",10.758064516129
"Berkeley Unified",61143,"Berkeley High",131177,"High Schools (Public)",199,"3,222","29.00%",10.6854271356784
"Berkeley Unified",61143,"Berkeley Technology Academy",134924,"Continuation High Schools",8,"52","78.80%",11.2125
"Berkeley Unified",61143,"Cragmont Elementary",6090195,"Elementary Schools (Public)",21,"296","24.70%",14.0142857142857
"Berkeley Unified",61143,"Emerson Elementary",6090211,"Elementary Schools (Public)",21,"281","29.50%",11.752380952381
"Berkeley Unified",61143,"John Muir Elementary",6105316,"Elementary Schools (Public)",25,"258","32.20%",10.552
"Berkeley Unified",61143,"Longfellow Arts and Technology Middle",6090294,"Intermediate/Middle Schools (Public)",42,"468","61.50%",9.34285714285714
"Berkeley Unified",61143,"Malcolm X Elementary",6090286,"Elementary Schools (Public)",39,"473","31.50%",11.3
"Berkeley Unified",61143,"Martin Luther King Middle",6056857,"Intermediate/Middle Schools (Public)",61,"941","25.60%",10.4475409836066
"Berkeley Unified",61143,"Oxford Elementary at West Campus",6090302,"Elementary Schools (Public)",15,"236","31.80%",16.5066666666667
"Berkeley Unified",61143,"Rosa Parks Environmental Science",6090187,"Elementary Schools (Public)",28,"397","24.70%",10.5642857142857
"Berkeley Unified",61143,"Ruth Acty Elementary",6090252,"Elementary Schools (Public)",26,"387","22.00%",10.9269230769231
"Berkeley Unified",61143,"Sylvia Mendez Elementary",6090278,"Elementary Schools (Public)",30,"412","29.60%",9.97666666666667
"Berkeley Unified",61143,"Thousand Oaks Elementary",6090310,"Elementary Schools (Public)",23,"339","34.20%",11.6608695652174
"Berkeley Unified",61143,"Washington Elementary",6090328,"Elementary Schools (Public)",28,"388","25.80%",13.2428571428571
"Berkeley Unified",61143,"Willard Middle",6056865,"Intermediate/Middle Schools (Public)",40,"600","25.80%",10.925
"Beverly Hills Unified",64311,"Beverly Hills High",1930981,"High Schools (Public)",65,"1,240","16.90%",15.2046153846154
"Beverly Hills Unified",64311,"Beverly Vista Middle",6011746,"Elementary Schools (Public)",48,"818","15.60%",10.3854166666667
"Beverly Hills Unified",64311,"Hawthorne Elementary",6011761,"Elementary Schools (Public)",38,"507","9.90%",13.6447368421053
"Beverly Hills Unified",64311,"Horace Mann Elementary",6011779,"Elementary Schools (Public)",36,"583","15.60%",16.6083333333333
"Capistrano Unified",66464,"Aliso Niguel High",3030574,"High Schools (Public)",155,"2,773","19.70%",16.141935483871
"Capistrano Unified",66464,"Aliso Viejo Middle",6111397,"Intermediate/Middle Schools (Public)",45,"783","22.00%",13.7111111111111
"Capistrano Unified",66464,"Arroyo Vista Elementary",6110852,"Elementary Schools (Public)",33,"482","12.90%",16.6666666666667
"Capistrano Unified",66464,"Arroyo Vista Middle",111914,"Intermediate/Middle Schools (Public)",21,"295","13.20%",18.3333333333333
"Capistrano Unified",66464,"Bathgate Elementary",6111793,"Elementary Schools (Public)",39,"619","22.10%",17.4615384615385
"Capistrano Unified",66464,"Bernice Ayer Middle",6115406,"Intermediate/Middle Schools (Public)",48,"803","28.90%",12.4375
"Capistrano Unified",66464,"Bridges Community Day",3030798,"District Community Day Schools",4,"9","55.60%",15.75
"Capistrano Unified",66464,"California Preparatory Academy",124131,"Alternative Schools of Choice",17,"295","21.70%",16.4705882352941
"Capistrano Unified",66464,"Canyon Vista Elementary",100735,"Elementary Schools (Public)",35,"455","12.10%",18.0857142857143
"Capistrano Unified",66464,"Capistrano Home/Virtual",112748,"Alternative Schools of Choice",14,"329","22.50%",14.7857142857143
"Capistrano Unified",66464,"Capistrano Union High",3035987,"Continuation High Schools",17,"136","64.00%",15.9411764705882
"Capistrano Unified",66464,"Capistrano Valley High",3030210,"High Schools (Public)",124,"2,077","28.40%",14.8225806451613
"Capistrano Unified",66464,"Carl Hankey Elementary",6098495,"Elementary Schools (Public)",25,"307","38.10%",15.24
"Capistrano Unified",66464,"Carl Hankey Middle",115501,"Intermediate/Middle Schools (Public)",18,"198","40.90%",14.7222222222222
"Capistrano Unified",66464,"Castille Elementary",6089452,"Elementary Schools (Public)",33,"485","17.10%",15.6363636363636
"Capistrano Unified",66464,"Chaparral Elementary",6118947,"Elementary Schools (Public)",43,"671","9.20%",17.9767441860465
"Capistrano Unified",66464,"Clarence Lobo Elementary",6111819,"Elementary Schools (Public)",30,"310","38.10%",15
"Capistrano Unified",66464,"Concordia Elementary",6027585,"Elementary Schools (Public)",34,"500","16.80%",14.4117647058824
"Capistrano Unified",66464,"Dana Hills High",3038569,"High Schools (Public)",132,"2,062","28.20%",13.9545454545455
"Capistrano Unified",66464,"Del Obispo Elementary",6094619,"Elementary Schools (Public)",29,"318","57.50%",16.5172413793103
"Capistrano Unified",66464,"Don Juan Avila Elementary",6117634,"Elementary Schools (Public)",43,"706","16.70%",14.4418604651163
"Capistrano Unified",66464,"Don Juan Avila Middle",6117642,"Intermediate/Middle Schools (Public)",50,"926","18.60%",14.62
"Capistrano Unified",66464,"Esencia",136762,"Elementary Schools (Public)",48,"793","7.20%",8.6875
"Capistrano Unified",66464,"Esencia Middle",138941,"Intermediate/Middle Schools (Public)",19,"220","12.30%",13.5789473684211
"Capistrano Unified",66464,"George White Elementary",6108740,"Elementary Schools (Public)",33,"444","29.10%",19.8484848484848
"Capistrano Unified",66464,"Harold Ambuehl Elementary",6097398,"Elementary Schools (Public)",28,"298","28.50%",14.3571428571429
"Capistrano Unified",66464,"Hidden Hills Elementary",6111801,"Elementary Schools (Public)",29,"344","62.20%",13.7241379310345
"Capistrano Unified",66464,"John Malcom Elementary",6111827,"Elementary Schools (Public)",36,"477","18.90%",19.3888888888889
"Capistrano Unified",66464,"Journey",6117758,"Elementary Schools (Public)",30,"513","18.30%",7.2
"Capistrano Unified",66464,"Kinoshita Elementary",6117733,"Elementary Schools (Public)",35,"428","86.40%",18.2571428571429
"Capistrano Unified",66464,"Ladera Ranch Elementary",100909,"Elementary Schools (Public)",41,"603","12.10%",19.2682926829268
"Capistrano Unified",66464,"Ladera Ranch Middle",100917,"Intermediate/Middle Schools (Public)",62,"1,284","9.30%",15.8548387096774
"Capistrano Unified",66464,"Laguna Niguel Elementary",6120281,"Elementary Schools (Public)",33,"370","19.20%",15.1818181818182
"Capistrano Unified",66464,"Las Flores Elementary",6114516,"Elementary Schools (Public)",33,"369","15.40%",16.8181818181818
"Capistrano Unified",66464,"Las Flores Middle",6117725,"Intermediate/Middle Schools (Public)",40,"645","13.20%",15.225
"Capistrano Unified",66464,"Las Palmas Elementary",6027601,"Elementary Schools (Public)",43,"737","38.70%",11.8372093023256
"Capistrano Unified",66464,"Marblehead Elementary",6118954,"Elementary Schools (Public)",25,"266","39.80%",9.2
"Capistrano Unified",66464,"Marco Forster Middle",6058929,"Intermediate/Middle Schools (Public)",72,"1,186","59.70%",11.5277777777778
"Capistrano Unified",66464,"Marian Bergeson Elementary",6106801,"Elementary Schools (Public)",33,"479","19.20%",13.7272727272727
"Capistrano Unified",66464,"Moulton Elementary",6095087,"Elementary Schools (Public)",37,"547","20.80%",15.972972972973
"Capistrano Unified",66464,"Newhart Middle",6101125,"Intermediate/Middle Schools (Public)",64,"1,076","24.30%",14.890625
"Capistrano Unified",66464,"Niguel Hills Middle",6095095,"Intermediate/Middle Schools (Public)",48,"752","28.30%",16.2291666666667
"Capistrano Unified",66464,"Oak Grove Elementary",6113344,"Elementary Schools (Public)",38,"603","16.40%",15.7631578947368
"Capistrano Unified",66464,"Oso Grande Elementary",108704,"Elementary Schools (Public)",50,"901","5.50%",15.68
"Capistrano Unified",66464,"Palisades Elementary",6027627,"Elementary Schools (Public)",31,"385","34.00%",12.4838709677419
"Capistrano Unified",66464,"Philip J. Reilly Elementary",6109474,"Elementary Schools (Public)",33,"397","16.10%",12
"Capistrano Unified",66464,"Richard Henry Dana Elementary",6027635,"Elementary Schools (Public)",23,"253","53.00%",8.43478260869565
"Capistrano Unified",66464,"Richard Henry Dana Exceptional Needs",6117881,"Special Education Schools (Public)",16,"40","22.50%",12.3125
"Capistrano Unified",66464,"San Clemente High",3036001,"High Schools (Public)",163,"2,904","24.40%",14.478527607362
"Capistrano Unified",66464,"San Juan Elementary",6027643,"Elementary Schools (Public)",41,"681","63.40%",10.7317073170732
"Capistrano Unified",66464,"San Juan Hills High",113381,"High Schools (Public)",155,"2,939","26.10%",11.7161290322581
"Capistrano Unified",66464,"Shorecliffs Middle",6097406,"Intermediate/Middle Schools (Public)",45,"766","32.10%",17.2
"Capistrano Unified",66464,"Tesoro High",3030756,"High Schools (Public)",131,"2,268","12.00%",14.3893129770992
"Capistrano Unified",66464,"Tijeras Creek Elementary",6117741,"Elementary Schools (Public)",25,"312","11.20%",10.88
"Capistrano Unified",66464,"Truman Benedict Elementary",6106819,"Elementary Schools (Public)",42,"634","12.00%",17.3809523809524
"Capistrano Unified",66464,"Viejo Elementary",6068589,"Elementary Schools (Public)",33,"470","43.60%",9
"Capistrano Unified",66464,"Vista del Mar Elementary",100883,"Elementary Schools (Public)",45,"789","11.50%",18.7111111111111
"Capistrano Unified",66464,"Vista del Mar Middle",100891,"Intermediate/Middle Schools (Public)",34,"575","9.60%",14.5
"Capistrano Unified",66464,"Wagon Wheel Elementary",6114524,"Elementary Schools (Public)",29,"424","6.60%",13.8620689655172
"Capistrano Unified",66464,"Wood Canyon Elementary",6111835,"Elementary Schools (Public)",35,"448","37.90%",11.3714285714286
"Carlsbad Unified",73551,"Aviara Oaks Elementary",6109201,"Elementary Schools (Public)",35,"654","14.50%",10.6
"Carlsbad Unified",73551,"Aviara Oaks Middle",6118137,"Intermediate/Middle Schools (Public)",49,"974","15.70%",10.6734693877551
"Carlsbad Unified",73551,"Buena Vista Elementary",6037774,"Elementary Schools (Public)",23,"289","24.90%",12.3478260869565
"Carlsbad Unified",73551,"Calavera Hills Elementary",6120711,"Elementary Schools (Public)",24,"415","32.50%",9.5
"Carlsbad Unified",73551,"Calavera Hills Middle",107557,"Intermediate/Middle Schools (Public)",31,"603","23.10%",8.96774193548387
"Carlsbad Unified",73551,"Carlsbad High",3730694,"High Schools (Public)",106,"2,287","20.10%",14.0094339622642
"Carlsbad Unified",73551,"Carlsbad Seaside Academy",3731163,"Alternative Schools of Choice",7,"216","23.60%",13.8571428571429
"Carlsbad Unified",73551,"Carlsbad Village Academy",3730017,"Continuation High Schools",6,"67","53.70%",11.6666666666667
"Carlsbad Unified",73551,"Hope Elementary",6106512,"Elementary Schools (Public)",36,"597","14.90%",10.5277777777778
"Carlsbad Unified",73551,"Jefferson Elementary",6037782,"Elementary Schools (Public)",28,"448","50.70%",13.6785714285714
"Carlsbad Unified",73551,"Kelly Elementary",6099352,"Elementary Schools (Public)",27,"448","11.20%",8.81481481481481
"Carlsbad Unified",73551,"Magnolia Elementary",6037790,"Elementary Schools (Public)",30,"496","11.10%",11.3666666666667
"Carlsbad Unified",73551,"Pacific Rim Elementary",6116578,"Elementary Schools (Public)",34,"691","9.30%",15.0588235294118
"Carlsbad Unified",73551,"Poinsettia Elementary",113498,"Elementary Schools (Public)",26,"476","17.90%",9.73076923076923
"Carlsbad Unified",73551,"Sage Creek High",127423,"High Schools (Public)",63,"1,451","16.70%",7.3968253968254
"Carlsbad Unified",73551,"Valley Middle",6037816,"Intermediate/Middle Schools (Public)",44,"880","24.70%",12.4318181818182
"Chula Vista Elementary",68023,"Allen (Ella B.) Elementary",6037832,"Elementary Schools (Public)",22,"340","33.50%",13.1363636363636
"Chula Vista Elementary",68023,"Arroyo Vista Charter",6116859,"Elementary Schools (Public)",44,"910","21.10%",14
"Chula Vista Elementary",68023,"Camarena (Enrique S.) Elementary",127431,"Elementary Schools (Public)",46,"944","22.90%",13.1086956521739
"Chula Vista Elementary",68023,"Casillas (Joseph) Elementary",6115646,"Elementary Schools (Public)",31,"492","37.40%",17.0322580645161
"Chula Vista Elementary",68023,"Castle Park Elementary",6037824,"Elementary Schools (Public)",24,"376","82.20%",11.875
"Chula Vista Elementary",68023,"Chula Vista Hills Elementary",6107775,"Elementary Schools (Public)",25,"494","34.00%",19.72
"Chula Vista Elementary",68023,"Chula Vista Learning Community Charter",6115778,"K-12 Schools (Public)",1,"1,449","55.60%",10
"Chula Vista Elementary",68023,"Clear View",6109771,"Elementary Schools (Public)",31,"504","38.50%",14.9354838709677
"Chula Vista Elementary",68023,"Cook (Hazel Goes) Elementary",6037881,"Elementary Schools (Public)",23,"330","67.30%",16.6086956521739
"Chula Vista Elementary",68023,"Discovery Charter",6111322,"Elementary Schools (Public)",1,"944","20.80%",1
"Chula Vista Elementary",68023,"EastLake Elementary",6108492,"Elementary Schools (Public)",26,"547","34.00%",10.5769230769231
"Chula Vista Elementary",68023,"Fahari L. Jeffers Elementary",141218,"Elementary Schools (Public)",20,"","",10.6
"Chula Vista Elementary",68023,"Finney (Myrtle S.) Elementary",6037964,"Elementary Schools (Public)",25,"376","72.30%",13.76
"Chula Vista Elementary",68023,"Halecrest Elementary",6037865,"Elementary Schools (Public)",24,"422","51.40%",17.0833333333333
"Chula Vista Elementary",68023,"Harborside Elementary",6037873,"Elementary Schools (Public)",37,"579","78.90%",11.9459459459459
"Chula Vista Elementary",68023,"Hedenkamp (Anne and William) Elementary",101592,"Elementary Schools (Public)",43,"894","24.40%",17.2325581395349
"Chula Vista Elementary",68023,"Heritage Elementary",6118970,"Elementary Schools (Public)",37,"750","20.50%",16.5405405405405
"Chula Vista Elementary",68023,"Hilltop Drive Elementary",6037899,"Elementary Schools (Public)",25,"508","69.10%",15
"Chula Vista Elementary",68023,"Juarez-Lincoln Elementary",6069090,"Elementary Schools (Public)",27,"460","73.50%",15.1111111111111
"Chula Vista Elementary",68023,"Kellogg (Karl H.) Elementary",6037923,"Elementary Schools (Public)",24,"299","69.90%",11.625
"Chula Vista Elementary",68023,"Lauderbach (J. Calvin) Elementary",6037907,"Elementary Schools (Public)",40,"730","79.60%",12.6153846153846
"Chula Vista Elementary",68023,"Liberty Elementary",105957,"Elementary Schools (Public)",33,"628","13.10%",17.2121212121212
"Chula Vista Elementary",68023,"Loma Verde Elementary",6037949,"Elementary Schools (Public)",32,"473","69.30%",13.34375
"Chula Vista Elementary",68023,"Los Altos Elementary",6070825,"Elementary Schools (Public)",21,"298","70.10%",10.5238095238095
"Chula Vista Elementary",68023,"Marshall (Thurgood) Elementary",6116396,"Elementary Schools (Public)",25,"502","22.90%",18.12
"Chula Vista Elementary",68023,"McMillin (Corky) Elementary",6118988,"Elementary Schools (Public)",36,"758","28.20%",16.4444444444444
"Chula Vista Elementary",68023,"Montgomery (John J.) Elementary",6037915,"Elementary Schools (Public)",18,"308","83.40%",12.6111111111111
"Chula Vista Elementary",68023,"Mueller Charter (Robert L.)",6037980,"K-12 Schools (Public)",4,"1,613","65.70%",17.5
"Chula Vista Elementary",68023,"Muraoka (Saburo) Elementary",135277,"Elementary Schools (Public)",49,"995","14.20%",10.3958333333333
"Chula Vista Elementary",68023,"Olympic View Elementary",6113021,"Elementary Schools (Public)",35,"626","39.10%",18
"Chula Vista Elementary",68023,"Otay Elementary",6095038,"Elementary Schools (Public)",35,"456","70.00%",11.2285714285714
"Chula Vista Elementary",68023,"Palomar Elementary",6037972,"Elementary Schools (Public)",18,"275","77.10%",14.8333333333333
"Chula Vista Elementary",68023,"Parkview Elementary",6066971,"Elementary Schools (Public)",23,"467","37.90%",14.1818181818182
"Chula Vista Elementary",68023,"Rice (Lilian J.) Elementary",6037931,"Elementary Schools (Public)",35,"585","74.20%",12.9428571428571
"Chula Vista Elementary",68023,"Rogers (Greg) Elementary",6037857,"Elementary Schools (Public)",30,"344","59.90%",13.5333333333333
"Chula Vista Elementary",68023,"Rohr (Fred H.) Elementary",6037840,"Elementary Schools (Public)",25,"532","67.90%",16.96
"Chula Vista Elementary",68023,"Rosebank Elementary",6037998,"Elementary Schools (Public)",27,"472","73.70%",15.6296296296296
"Chula Vista Elementary",68023,"Salt Creek Elementary",105965,"Elementary Schools (Public)",40,"844","14.70%",14.075
"Chula Vista Elementary",68023,"Silver Wing Elementary",6038004,"Elementary Schools (Public)",21,"352","70.70%",11.2857142857143
"Chula Vista Elementary",68023,"Sunnyside Elementary",6038012,"Elementary Schools (Public)",25,"440","39.50%",14.28
"Chula Vista Elementary",68023,"Tiffany (Burton C.) Elementary",6095020,"Elementary Schools (Public)",28,"469","39.20%",15.5357142857143
"Chula Vista Elementary",68023,"Valle Lindo Elementary",6038020,"Elementary Schools (Public)",27,"418","53.80%",13.8888888888889
"Chula Vista Elementary",68023,"Valley Vista Elementary",6038038,"Elementary Schools (Public)",30,"561","55.10%",12.4333333333333
"Chula Vista Elementary",68023,"Veterans Elementary",108662,"Elementary Schools (Public)",38,"810","26.70%",16.2631578947368
"Chula Vista Elementary",68023,"Vista Square Elementary",6038046,"Elementary Schools (Public)",35,"590","84.90%",13.8823529411765
"Chula Vista Elementary",68023,"Wolf Canyon Elementary",114009,"Elementary Schools (Public)",39,"931","14.30%",15.4102564102564
"Corona-Norco Unified",67033,"Auburndale Intermediate",6059026,"Intermediate/Middle Schools (Public)",30,"632","81.50%",16.5
"Corona-Norco Unified",67033,"Benjamin Franklin Elementary",6116404,"Elementary Schools (Public)",32,"697","57.00%",17.84375
"Corona-Norco Unified",67033,"Centennial High",3330446,"High Schools (Public)",120,"3,137","71.50%",15.925
"Corona-Norco Unified",67033,"Cesar Chavez Academy",6114151,"Elementary Schools (Public)",41,"893","71.40%",16.4878048780488
"Corona-Norco Unified",67033,"Citrus Hills Intermediate",6116412,"Intermediate/Middle Schools (Public)",35,"964","52.30%",22.9428571428571
"Corona-Norco Unified",67033,"Clara Barton Elementary",100974,"Elementary Schools (Public)",40,"1,062","53.20%",18.175
"Corona-Norco Unified",67033,"CNUSD Hybrid School of Innovation",135574,"Alternative Schools of Choice",63,"868","65.10%",17.0793650793651
"Corona-Norco Unified",67033,"Corona Fundamental Intermediate",6059034,"Intermediate/Middle Schools (Public)",31,"748","73.00%",19.8064516129032
"Corona-Norco Unified",67033,"Corona High",3331600,"High Schools (Public)",100,"2,259","79.70%",17.01
"Corona-Norco Unified",67033,"Corona Ranch Elementary",6120364,"Elementary Schools (Public)",34,"848","71.30%",20.8823529411765
"Corona-Norco Unified",67033,"Corona-Norco Alternative",3330131,"Alternative Schools of Choice",3,"756","64.80%",21.3333333333333
"Corona-Norco Unified",67033,"Coronita Elementary",6031751,"Elementary Schools (Public)",21,"448","92.20%",20.952380952381
"Corona-Norco Unified",67033,"Dr. Augustine Ramirez Intermediate",123828,"Junior High Schools (Public)",43,"1,166","51.50%",14.7906976744186
"Corona-Norco Unified",67033,"Dr. Bernice Jameson Todd Academy",113647,"Elementary Schools (Public)",46,"1,291","49.70%",17.2608695652174
"Corona-Norco Unified",67033,"Dwight D. Eisenhower Elementary",105791,"Elementary Schools (Public)",29,"705","42.30%",20.4137931034483
"Corona-Norco Unified",67033,"Eastvale Elementary",110643,"Elementary Schools (Public)",46,"1,141","57.40%",17.0652173913043
"Corona-Norco Unified",67033,"El Cerrito Middle",100966,"Intermediate/Middle Schools (Public)",36,"930","49.90%",18.1666666666667
"Corona-Norco Unified",67033,"Eleanor Roosevelt High",110627,"High Schools (Public)",177,"4,580","57.90%",13.3050847457627
"Corona-Norco Unified",67033,"Foothill Elementary",6107668,"Elementary Schools (Public)",33,"694","62.10%",21.4848484848485
